,date,country,iso_alpha,rate,confirmed,death,recovered
291,2020-02-15,Korea,KOR,1.0,28.0,0.0,9.0
292,2020-02-15,Singapore,SGP,1.0746157289956724,72.0,0.0,18.0
293,2020-02-15,Italy,ITA,1.0,3.0,0.0,0.0
294,2020-02-15,UK,GBR,1.0,9.0,0.0,1.0
295,2020-02-15,Germany,DEU,1.0,16.0,0.0,1.0
296,2020-02-15,Spain,ESP,1.0,2.0,0.0,2.0
297,2020-02-15,Brazil,BRA,1.0,0.0,0.0,0.0
298,2020-02-15,Australia,AUS,1.0,15.0,0.0,8.0
299,2020-02-15,Canada,CAN,1.0,7.0,0.0,1.0
300,2020-02-16,US,USA,1.0,15.0,0.0,3.0
301,2020-02-16,China,CHN,1.0307109264911516,70446.0,1765.0,10748.0
302,2020-02-16,India,IND,1.0,3.0,0.0,3.0
303,2020-02-16,Korea,KOR,1.0357015351660122,29.0,0.0,9.0
304,2020-02-16,Singapore,SGP,1.0416608804332732,75.0,0.0,18.0
305,2020-02-16,Italy,ITA,1.0,3.0,0.0,0.0
306,2020-02-16,UK,GBR,1.0,9.0,0.0,8.0
307,2020-02-16,Germany,DEU,1.0,16.0,0.0,1.0
308,2020-02-16,Spain,ESP,1.0,2.0,0.0,2.0
309,2020-02-16,Brazil,BRA,1.0,0.0,0.0,0.0
310,2020-02-16,Australia,AUS,1.0,15.0,0.0,8.0
311,2020-02-16,Canada,CAN,1.0,7.0,0.0,1.0
312,2020-02-17,US,USA,1.0,15.0,0.0,3.0
313,2020-02-17,China,CHN,1.0272265242559515,72364.0,1863.0,12455.0
314,2020-02-17,India,IND,1.0,3.0,0.0,3.0
315,2020-02-17,Korea,KOR,1.0344708721130644,30.0,0.0,10.0
316,2020-02-17,Singapore,SGP,1.026663111585122,77.0,0.0,24.0
317,2020-02-17,Italy,ITA,1.0,3.0,0.0,0.0
318,2020-02-17,UK,GBR,1.0,9.0,0.0,8.0
319,2020-02-17,Germany,DEU,1.0,16.0,0.0,1.0
320,2020-02-17,Spain,ESP,1.0,2.0,0.0,2.0
321,2020-02-17,Brazil,BRA,1.0,0.0,0.0,0.0
322,2020-02-17,Australia,AUS,1.0,15.0,0.0,10.0
323,2020-02-17,Canada,CAN,1.1426533523537803,8.0,0.0,1.0
324,2020-02-18,US,USA,1.0,15.0,0.0,3.0
325,2020-02-18,China,CHN,1.024528767822568,74139.0,2002.0,14199.0
326,2020-02-18,India,IND,1.0,3.0,0.0,3.0
